City,Region,tif_count,Latitude,Longitude,Brightness
Ancud,SOUTH AMERICA,17.0000136,-41.87598039,-73.81519608,0.299795282
Anda,ASIA,138.0001104,46.43218599,125.2589372,0.983408216
Anderson,NORTH AMERICA,125.0001,34.52346666,-82.66973333,1.360489246
Andijon,ASIA,1072.000858,40.73714241,72.21291978,0.496845518
Andkhvoy,ASIA,60.00004801,36.93472222,65.09666667,0.055130543
Andoany,AFRICA,10.000008,-13.39166667,48.26333334,0.039649661
Andong,ASIA,41.0000328,36.57052845,128.7245935,1.145161638
Andorra,EUROPE,37.00002959,42.5222973,1.53130631,0.569461504
Andradina,SOUTH AMERICA,35.000028,-20.89761905,-51.38071428,0.590723303
Androka,AFRICA,1.000000802,-25.025,44.075,0
Angangxi,ASIA,27.00002159,47.16080247,123.8117284,0.193706281
Angarsk,ASIA,181.0001448,52.5575046,103.8908379,1.841891336
Angeles,MALAY ARCHIPELAGO,1607.479202,15.05884978,120.6617801,0.300007688
Angers,EUROPE,224.0001792,47.46595982,-0.552008925,1.142449582
Angoche,AFRICA,28.0000224,-16.19851191,39.92321429,0.046012829
Angol,SOUTH AMERICA,22.00001759,-37.80113637,-72.7030303,0.669821315
Angra do Heroismo,EUROPE,6.000004798,38.6625,-27.225,0.677948114
Angren,ASIA,112.0000896,41.01837797,70.08497024,0.263735095
Ankang,ASIA,828.0006624,32.7889996,108.7868961,0.186710037
Ankara,ASIA,810.000648,39.96205761,32.74927984,3.575407365
Anlu,ASIA,1212.91652,31.24143082,113.6847756,0.070909129
Ann Arbor,NORTH AMERICA,328.0002624,42.25160061,-83.68958333,2.129924953
Anna Regina,SOUTH AMERICA,6.000004804,7.270833332,-58.48611111,0.085973023
Annaba,AFRICA,166.0001328,36.85055221,7.74231928,1.929115582
Annapolis,NORTH AMERICA,94.00007521,38.97828014,-76.52712766,2.146207796
Annecy,EUROPE,132.0001056,45.92556818,6.100063135,1.300751946
Anqing,ASIA,177.0001416,30.5606403,117.036017,0.901056563
Ansan,ASIA,525.922349,37.38732716,126.8430987,4.692851839
Anshan,ASIA,1428.054078,41.20761091,123.0334915,1.226047266
Anshun,ASIA,884.0007072,26.23429487,105.7977847,0.249161689
Antalaha,AFRICA,8.000006411,-14.9,50.27395834,0.041213298
Antalya,ASIA,286.0002288,36.90463287,30.71051865,3.232176125
Antananarivo,AFRICA,864.0006912,-18.87130594,47.47254051,0.103788305
Antigonish,NORTH AMERICA,16.0000128,45.62291666,-61.996875,0.452464811
Antofagasta,SOUTH AMERICA,62.0000496,-23.62325269,-70.39758064,1.103104107
Antsirabe,AFRICA,354.0002832,-19.86640772,47.1461629,0.007277994
Antsiranana,AFRICA,25.00002,-12.29566667,49.288,0.156185552
Antsohihy,AFRICA,4.0000032,-14.875,47.98541667,0.036219192
Antwerpen,EUROPE,1365.17508,51.14656362,4.529919077,2.656690606
Anuradhapura,ASIA,131.0001048,8.324300253,80.41221374,0.101644557
Anxi,ASIA,16.0000128,40.52604166,95.778125,0.229423071
Anyang,ASIA,2525.696979,36.12551645,114.4531689,0.346345957
Anzhero Sudzhensk,ASIA,101.0000808,56.08985148,86.0269802,0.760840981
Aomori,ASIA,147.0001176,40.83407029,140.7349773,0.818552001
Apalachicola,NORTH AMERICA,6.000004801,29.72916666,-85,0.301157081
Apatity,EUROPE,68.0000544,67.58370098,33.40220589,2.761291414
Apatzingan,NORTH AMERICA,27.0000216,19.09444444,-102.3583333,0.361037085
Apia,POLYNESIA,47.00003761,-13.83368794,-171.7852837,0.103668575
Apodi,SOUTH AMERICA,1.000000799,-5.658333335,-37.8,0.652495001
Apolo,SOUTH AMERICA,4.0000032,-14.7125,-68.42083333,0.004125788
Appleton,NORTH AMERICA,311.895419,44.2542606,-88.41093023,2.291252954
Apsheronsk,EUROPE,43.0000344,44.46143411,39.72344962,0.167015783
Apucarana,SOUTH AMERICA,55.000044,-23.54272727,-51.45545454,0.931071679
Aqadyr,ASIA,5.000004,48.27,72.86,0.226648287
Aqsay,ASIA,17.0000136,51.1745098,52.99460785,0.843164555
Aqtau,ASIA,7.0000056,43.63571428,51.23452381,1.744951903
Aqtobe,ASIA,96.0000768,50.29444444,57.18559028,1.968137537
Aquidauana,SOUTH AMERICA,42.0000336,-20.46686508,-55.79325396,0.852850853
Ar Ramadi,ASIA,72.0000576,33.43310185,43.29282408,1.085566205
Ar Raqqah,ASIA,55.000044,35.95636363,39.00924243,0.449190287
Ar Rutbah,ASIA,10.000008,33.04166666,40.27916667,0.201089291
Aracaju,SOUTH AMERICA,243.0001944,-10.89883402,-37.10967078,3.254666638
Aracati,SOUTH AMERICA,6.0000048,-4.558333335,-37.77083333,1.250230555
Aracatuba,SOUTH AMERICA,79.0000632,-21.20210971,-50.44694092,1.409823503
Aracuai,SOUTH AMERICA,13.0000104,-16.85192308,-42.06858974,0.390171978
Arad,EUROPE,86.00006881,46.18391473,21.31191861,1.68666926
Araguaina,SOUTH AMERICA,17.0000136,-7.183333335,-48.20931372,1.548730783
Araguari,SOUTH AMERICA,50.00003999,-18.64466667,-48.19383333,0.804454689
Arak,ASIA,93.00007438,34.08960573,49.68862007,0.981157944
Aral,ASIA,23.0000184,46.80543478,61.6576087,0.655992852
Aranyaprathet,ASIA,11.0000088,13.69469697,102.4977273,0.451139902
Arapiraca,SOUTH AMERICA,22.0000176,-9.738257577,-36.67121212,3.010598318
Arapongas,SOUTH AMERICA,55.00004399,-23.40287879,-51.43727272,1.077405704
Arar,ASIA,33.0000264,30.98181818,41.0229798,5.759991487
Ararangua,SOUTH AMERICA,40.000032,-28.93395833,-49.49791666,1.078457221
Ararat,AUSTRALIA,15.000012,-37.28,142.9227778,0.16720274
Arauca,SOUTH AMERICA,12.0000096,7.079861109,-70.75972222,0.815999588
Araxa,SOUTH AMERICA,38.0000304,-19.5877193,-46.94210526,0.556801628
Arba Minch,AFRICA,36.0000288,6.052083332,37.57569445,0.038774416
Arcata,NORTH AMERICA,30.000024,40.88194444,-124.0855556,0.348858129
Archangel,EUROPE,319.0002552,64.55535528,40.57850053,2.271335153
Arcoverde,SOUTH AMERICA,14.0000112,-8.41309524,-37.05654762,0.47019961
Arctic Bay,NORTH AMERICA,1.0000008,73.04166666,-85.175,0.255384308
Ardabil,ASIA,79.00006319,38.26065401,48.28101266,1.0800654
Ardmore,NORTH AMERICA,39.0000312,34.18205128,-97.14337607,1.735588168
Arecibo,SOUTH AMERICA,87.0000696,18.44521073,-66.76561302,0.858254446
Arequipa,SOUTH AMERICA,165.000132,-16.3929798,-71.53323232,1.065117502
Arezzo,EUROPE,62.0000496,43.4719086,11.85900538,1.502878472
Argentia,NORTH AMERICA,5.000004001,47.31333333,-53.99333333,0.18234047
Arica,SOUTH AMERICA,41.0000328,-18.47317073,-70.29512195,0.869945923
Arjona,SOUTH AMERICA,15.000012,10.26333333,-75.35333333,0.530065669
Armavir,EUROPE,94.00007521,45.00868794,41.11436171,1.335936874
Armenia,SOUTH AMERICA,42.0000336,4.547420633,-75.6813492,0.87545371
Armidale,AUSTRALIA,28.00002241,-30.50625,151.6571429,0.155562777
Arqalyq,ASIA,34.0000272,50.25955882,66.90318628,0.381664447
Arras,EUROPE,91.00007279,50.29413919,2.768956047,1.925763509
Arrecife,AFRICA,35.000028,28.97714286,-13.57309523,1.48298638
Arroyos y Esteros,SOUTH AMERICA,2.000001599,-25.05,-57.10416666,0.254649726
Arsenyev,ASIA,32.00002559,44.16145833,133.2695313,0.307634038
Artemisa,NORTH AMERICA,23.0000184,22.82137681,-82.76594203,0.388361571
Artemovsk,ASIA,13.0000104,54.35448718,93.43461539,0.042728775
Artemovskiy,ASIA,35.000028,57.35904762,61.88404762,0.768235593
Artigas,SOUTH AMERICA,10.000008,-30.41083333,-56.48,0.745073444
Arua,AFRICA,735.000588,3.136247164,30.87451247,0.000978968
Arusha,AFRICA,34.0000272,-3.366911766,36.68161765,0.193445365
Arvayheer,ASIA,20.000016,46.2725,102.7708333,0.036561811
Arviat,NORTH AMERICA,1.0000008,61.10833333,-94.05833333,0.424947778
Arxan,ASIA,9.000007199,47.175,119.9333333,0.106265202
Arys,ASIA,32.00002559,42.42994791,68.79765625,0.256045757
Arzamas,EUROPE,92.00007359,55.41059782,43.81902174,0.506197731
As Salt,ASIA,27.0000216,32.05092592,35.72222223,1.360242879
As Samawah,ASIA,71.00005681,31.32323943,45.27441315,1.687946813
As Sulaymaniyah,ASIA,68.00005441,35.56887255,45.41887255,4.065287533
As Sulayyil,ASIA,9.000007198,20.46759259,45.56296297,2.507443824
As Suwayda,ASIA,34.0000272,32.7120098,36.57107843,0.338135563
Asahikawa,ASIA,187.0001496,43.7872549,142.3807932,1.335024242
Asbest,ASIA,69.0000552,57.0134058,61.46521739,1.413907784
Ascension,NORTH AMERICA,10.000008,31.09833333,-108,0.16338552
Asela,AFRICA,30.000024,7.963611109,39.13166667,0.012896629
Ash Shatrah,ASIA,39.0000312,31.4258547,46.16217949,1.377765156
Ash Shihr,ASIA,13.0000104,14.76858974,49.60384616,1.351832088
Asha,EUROPE,53.0000424,55.00314465,57.24669812,1.00591145
Ashburton1,POLYNESIA,18.30651529,-43.89235981,171.7533653,0.340030125
Ashburton2,POLYNESIA,0.693499917,-43.87336963,171.7332641,0.225958607
Asheville,NORTH AMERICA,291.0002328,35.56998854,-82.56620847,0.897319112
Ashgabat,ASIA,189.0001512,37.95163139,58.36141976,7.291504098
Asino,ASIA,24.0000192,56.99895833,86.1375,0.408578485
Asmara,AFRICA,109.0000872,15.33157492,38.92270643,0.075887113
Asosa,AFRICA,10.000008,10.065,34.53916667,0.051202425
Assab,AFRICA,13.0000104,13.01282051,42.73461539,0.026714513
Assis,SOUTH AMERICA,81.0000648,-22.64876543,-50.42294238,0.801139566
Astana,ASIA,193.0001544,51.16860967,71.42858377,7.466910321
