City,Region,tif_count_2000,tif_count_2021,Latitude,Longitude,2000 Population,2021 Population,Population Change
Allende,NORTH AMERICA,13,13,28.34615385,-100.8525641,5423.999994,19224.99998,13800.99999
Allentown,NORTH AMERICA,636,636,40.63535115,-75.41198899,434474.9999,528473.9998,93998.99991
Alliance,NORTH AMERICA,18,18,42.10740741,-102.8787037,5674.999994,6395.999992,720.9999974
Almaty,ASIA,506,506,43.28183465,76.89856719,1271065,2011547.999,740482.9997
Almenara,SOUTH AMERICA,12,12,-16.17222222,-40.69583333,3097.999997,30971.99996,27873.99996
Almeria,EUROPE,53.99999997,53.99999998,36.86064815,-2.446296296,189768.9999,148487.9999,-41280.99997
Almetyevsk,EUROPE,80,80,54.90739583,52.315,129733.9999,76030.99995,-53702.99997
Almirante,SOUTH AMERICA,5,5,9.303333333,-82.40166667,236,9926,9690
Alor Setar,ASIA,285,285,6.112865497,100.3709649,245285.9999,365006.9999,119720.9999
Alotau,MELANESIA,4.999999988,4.999999988,-10.305,150.445,599.9999993,9427.999951,8827.999952
Alpena,NORTH AMERICA,39.99999999,41,45.06985597,-83.45812757,16550.99998,16245.99998,-305.0000045
Alpine,NORTH AMERICA,13,13,30.36474359,-103.6653846,7088.99999,6127.999991,-960.9999996
Alta Gracia,SOUTH AMERICA,22,22,-31.65151515,-64.42992424,11883,34314.99998,22431.99998
Altagracia de Orituco,SOUTH AMERICA,17,17,9.866176471,-66.375,4960.999995,46797.99995,41836.99996
Altamira,SOUTH AMERICA,7.000000001,7.000000001,-3.194047619,-52.21428571,4878.999989,58141.99991,53262.99992
Altay,ASIA,13.00091561,13.00091561,47.85448732,88.12307796,22984.05485,28665.02101,5680.966163
Alton,NORTH AMERICA,145,145,38.90270115,-90.13132184,76344.99996,67122.99995,-9222.000015
Altoona,NORTH AMERICA,112,112,40.48779762,-78.40729167,78429.99996,71657.99996,-6772.000005
Alvorada,SOUTH AMERICA,1,1,-12.475,-49.125,262.9999987,2062.000002,1799.000003
Alwar,ASIA,1889.953245,1889.953245,27.57951761,76.87088919,1178094.299,1828428.82,650334.5209
Alxa Zuoqi,ASIA,8.000000001,8.000000001,38.83645833,105.6645833,39898.9999,53082.99985,13183.99995
Am Timan,AFRICA,12,12,11.03402778,20.28402778,1007.999998,55238.99997,54230.99998
Amahai,MELANESIA,2.999999977,3.999999979,-3.330952381,128.9154762,781.9999972,3252.999983,2470.999986
Amapa,SOUTH AMERICA,4.000000001,4.000000001,2.054166667,-50.79583333,35.99999995,5457.999982,5421.999982
