City,Region,tif_count,Latitude,Longitude,wc2.1_5m_bio_18.tif,wc2.1_5m_bio_11.tif,wc2.1_5m_bio_19.tif,wc2.1_5m_bio_13.tif,wc2.1_5m_bio_10.tif,wc2.1_5m_bio_3.tif,wc2.1_5m_bio_9.tif,wc2.1_5m_bio_14.tif,wc2.1_5m_bio_2.tif,wc2.1_5m_bio_16.tif,wc2.1_5m_bio_8.tif,wc2.1_5m_bio_5.tif,wc2.1_5m_bio_6.tif,wc2.1_5m_bio_1.tif,wc2.1_5m_bio_12.tif,wc2.1_5m_bio_7.tif,wc2.1_5m_bio_17.tif,wc2.1_5m_bio_4.tif,wc2.1_5m_bio_15.tif
Akron,NORTH AMERICA,8.487085322,41.14380069,-81.53553276,282.9398691,-2.263378284,191.1128046,99.87188487,21.04658547,29.71436959,-1.996814846,55.50348983,10.7737358,286.2337128,18.95141514,28.10421091,-8.153041941,9.7571241,969.0790026,36.25725256,190.8842177,942.8891631,17.65592253
Aksu,ASIA,0.8,41.21041667,80.225,40.0875,-4.919362503,5.524999999,16.3625,23.50153103,30.90717661,-3.821156204,1,14.48658425,40.0875,23.50153103,32.40751176,-14.46283755,10.7957642,73.225,46.87034822,4.524999999,1171.4599,73.38938475
Aksum,AFRICA,0.27,14.15123457,38.7037037,125.4074074,16.89702486,17.18518519,215.2592593,20.58691993,73.21433258,17.11333939,2,15.11744174,480.3333333,18.24403056,28.95855607,8.309778037,18.43720146,656.4444445,20.6487775,6.814814815,155.4207769,134.077062
Akureyi,NORTH AMERICA,0.29,65.74425287,-18.16091954,118.6551724,-2.19345046,150.7241379,73.65517242,10.01024933,31.98509407,5.34322626,24.62068966,6.312146417,194.4827586,2.896895186,14.15837242,-5.57581012,3.153362463,564.1034483,19.73418249,87.82758622,507.9879161,29.56749574
Al Ahmadi,ASIA,0.18,29.14351852,48.00925926,0,14.07457129,57.16666667,21.66666667,36.76747555,39.17807452,36.76747555,0,15.52945466,59.88888889,15.81980928,46.29413944,6.661649836,25.83059756,101.6111111,39.63249016,0,923.4349569,91.61922158
Al Amarah,ASIA,0.81,31.8909465,47.10802469,0,12.87547528,119.345679,44.67901234,34.91967665,39.11090126,34.91967665,0,14.89775726,119.345679,12.87547528,44.14420912,6.053321002,24.26168903,197.7777778,38.09088902,0,904.4093229,99.25148943
Al Ayn,ASIA,1.94,24.23324742,55.68685567,4.159793814,19.75653451,60.92268041,38.27319588,35.7727423,43.48324746,35.7727423,1,13.10365629,82.43298969,24.35013402,42.849372,12.71690216,28.31522166,125.4020619,30.13246958,4.159793814,657.3472765,105.2797616
Al Bayda,AFRICA,0.01,32.83333333,21.58333333,1,11.92683315,270,97.00000001,23.60633278,43.96037292,23.60633278,0,9.525333405,270,11.92683315,29.08099937,7.413000103,17.93958282,419,21.66799927,1,487.6165162,102.5634689
Al Fallujah,ASIA,0.33,33.40151515,43.75,0,11.05681801,66.63636363,22.81818182,34.05457445,37.9065746,34.05457445,0,15.07604625,66.63636363,11.36293932,43.65509276,3.883545377,22.84845508,131.4545455,39.77154888,0,940.2461326,85.49228252
Al Fujayrah,ASIA,0.37,25.14189189,56.31531532,3.081081085,21.32942586,74.54054054,36.13513514,33.87185473,42.39864298,33.36738638,0.216216217,10.43336041,83.8918919,21.90049878,39.96162085,15.35510393,28.18315872,122.5405406,24.60651692,2.432432434,525.7655392,110.853894
Al Hasakah,ASIA,0.48,36.54861111,40.70659722,2.770833334,6.5649514,143.0625,52.35416667,29.82274306,36.76353145,29.82274306,0,14.40073266,148.8125,8.098353982,39.76689521,0.596020819,18.29606088,310.1666667,39.1708738,2.770833334,945.1645317,78.94469802
Al Hillah,ASIA,1.51,32.5281457,44.36644592,0,11.61082566,61.45695364,23.73509934,34.7995997,35.74335912,34.7995997,0,14.07333411,61.45695364,11.61082566,43.82792065,4.455390706,23.62408172,107.1390728,39.3725303,0,953.0733283,91.65430607
Al Hudaydah,ASIA,1.04,14.84054487,42.94871795,16.93269231,25.89547297,12.05769231,12.33653846,33.20053108,53.87741815,30.16947244,1,9.105913602,27.70192308,31.90569526,37.95351399,21.06133518,29.76850557,58.09615385,16.89217881,7.73076923,305.6408853,56.59103639
Al Hufuf,ASIA,1.21,25.43732782,49.53787879,0,17.4179726,32.41322314,24.66115703,34.68713678,38.76864715,34.68713678,0,11.70615095,50.73553719,20.61805796,41.70313112,11.50971071,26.57463137,78.6446281,30.19341997,0,709.611601,103.977792
